"TABLE CP-6. Published Tuition and Fees in Current Dollars and in 2025 Dollars, 2007-08 to 2025-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In 2025 Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,,,,,,,,,Percentage Change,,In 2025 Dollars
,,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,1-Year,5-Year,
University of Texas at Austin,TX,7670,8532,8930,9416,9792,9790,9790,9798,9830,10110,10414,10622,10820,10820,10860,10858,10858,10858,10858,0,3.5120147874305729E-3,24544,27760,30006,31266,32379,33060,33824,34722,34836,35906,36984,37724,38228,38330,38650,38650,40582,42554,42554,0,0.11020088703365505,University of Texas at Austin
University of Utah,UT,4987,5285,5746,6274,6763,7139,7457,7935,8197,8518,8824,9222,9500,9500,9820,10287,10286.6,10624.7001953125,10848.8,2.1092341484267862E-2,0.14197894736842098,15662,16601,18193,19841,21389,22642,23736,25267,26022,27039,28067,29215,30132,30130,31390,33045,33045.160000000003,34179.76171875,35198.880000000005,2.9816424398621422E-2,0.16823365416528402,University of Utah
University of Virginia,VA,8500,9505,9672,10628,11576,12006,12458,12998,14468,15714,16076,16520,16640,17300,17410,18236,18816,19422,20046,3.2128514056224855E-2,0.15872832369942191,27515,29798,31326,32902,35898,37336,39844,42184,43082,45058,45922,47562,49970,51830,51940,54388,56428,58142,59906,3.0339513604623169E-2,0.15581709434690327,University of Virginia
University of Vermont,VT,12054,12844,13554,14066,14784,15284,15718,16196,16738,17300,17740,18276,18802,19060,19000,18890,18890,19058,19514,2.3926959806905179E-2,2.3819517313746097E-2,27938,29682,31454,32630,34424,35612,36646,37844,39130,40364,41356,42516,43690,43950,43890,43890,43890,45502,47554,4.5096918816755371E-2,8.2002275312855533E-2,University of Vermont
University of Washington,WA,6385,6907,7964,8973,10826,12383,12397,12394,11839,10753,10974,11207,11465,11750,12080,12242,12643,12973,13406,3.3377013797887933E-2,0.14093617021276605,22131,23324,24639,25601,28310,31016,31971,33513,34143,34791,35538,36588,38166,39110,39910,40740,41997,43209,44640,3.3118100395750805E-2,0.14139606238813607,University of Washington
University of Wisconsin-Madison,WI,7188,7568,8310,8983,9671,10384,10403,10410,10415,10488,10533,10555,10725,10740,10770,10796,11205,11603,12166.46,4.8561578902007962E-2,0.13281750465549336,21438,21818,23095,24233,25421,26634,26653,26660,29665,32738,34783,36805,37785,38630,38654,39427,40603,42103,44190.86,4.958934042704799E-2,0.14395185089308837,University of Wisconsin-Madison
West Virginia University,WV,4722,5100,5304,5406,5674,6090,6456,6960,7632,7992,8376,8856,8980,8980,9140,9384,9648,10104,10752,6.4133016627078376E-2,0.19732739420935408,14600,15770,16402,17002,17844,18868,19632,20424,21432,22488,23616,24950,25320,25320,25820,26568,27360,28608,30432,6.3758389261745041E-2,0.20189573459715637,West Virginia University
University of Wyoming,WY,3554,3621,3726,3927,4125,4278,4404,4646,4891,5055,5217,5400,5581,5790,6100,6440.52,6698,6957.22021484375,7434.54,6.8607830486355992E-2,0.28403108808290156,10394,11031,11697,12237,12855,13428,14124,14876,15631,16215,16827,17490,18151,19530,20650,21590.52,22478,23367.220703125,24054.54,2.9413823133149997E-2,0.23167127496159767,University of Wyoming
"SOURCE: The College Board, Annual Survey of Colleges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOURCE: The College Board, Annual Survey of Colleges."
This table was prepared in October 2025.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
